Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG,BAMIYAN,DECEMBER,1975
1,,,,,,,,,,,,,,,BAMIYAN,DECEMBER,1975
2,-3.7,1,-10,,46,0,19,3.7,11.1,,,,,,BAMIYAN,DECEMBER,1975
3,-1.4,3,-7,,58,0,17.7,2.6,7.6,,,,,,BAMIYAN,DECEMBER,1975
4,,,,,,,,,,,,,,,BAMIYAN,DECEMBER,1975
5,-7,2,-12,,39,0,17.1,6.5,18.3,,,,,,BAMIYAN,DECEMBER,1975
6,-7.4,-1,-15,,36,0,18.8,2.2,11.1,,,,,,BAMIYAN,DECEMBER,1975
7,-6.2,2,-14,,38,0,16.1,0,,,,,,,BAMIYAN,DECEMBER,1975
8,-4,6,-9,,37,0,18.5,5.6,22.2,,,,,,BAMIYAN,DECEMBER,1975
9,-5.2,3,-14,,26,0,18.2,3.7,18.3,,,,,,BAMIYAN,DECEMBER,1975
10,-2.5,6,-10,,28,0,17.7,0,,,,,,,BAMIYAN,DECEMBER,1975
11,,,,,,,,,,,,,,,BAMIYAN,DECEMBER,1975
12,,,,,,,,,,,,,,,BAMIYAN,DECEMBER,1975
13,-2.5,6,-7,,41,0,19,3.7,14.8,,,,,,BAMIYAN,DECEMBER,1975
14,,,,,,,,,,,,,,,BAMIYAN,DECEMBER,1975
15,-4.4,2,-15,,23,0,19.2,0,,,,,,,BAMIYAN,DECEMBER,1975
16,,,,,,,,,,,,,,,BAMIYAN,DECEMBER,1975
17,-2,3,-6,,,,24.5,1.9,7.6,,,,,,BAMIYAN,DECEMBER,1975
18,,,,,,,,,,,,,,,BAMIYAN,DECEMBER,1975
19,-4.5,0,-7,,,0,19,3.7,14.8,,,,,,BAMIYAN,DECEMBER,1975
20,-4.3,5,-9,,47,,15.3,1.9,7.6,,,,,,BAMIYAN,DECEMBER,1975
21,,,,,,,,,,,,,,,BAMIYAN,DECEMBER,1975
22,,,,,,,,,,,,,,,BAMIYAN,DECEMBER,1975
23,,,,,,,,,,,,,,,BAMIYAN,DECEMBER,1975
24,,,,,,,,,,,,,,,BAMIYAN,DECEMBER,1975
25,,,,,,,,,,,,,,,BAMIYAN,DECEMBER,1975
26,,,,,,,,,,,,,,,BAMIYAN,DECEMBER,1975
27,,,,,,,,,,,,,,,BAMIYAN,DECEMBER,1975
28,,,,,,,,,,,,,,,BAMIYAN,DECEMBER,1975
29,,,,,,,,,,,,,,,BAMIYAN,DECEMBER,1975
30,,,,,,,,,,,,,,,BAMIYAN,DECEMBER,1975
31,,,,,,,,,,,,,,,BAMIYAN,DECEMBER,1975
